split,image,patch_id,num_cells,lymphocyte,tumor_epi,stroma
train,TCGA-A7-A0D9-01Z-00-DX2_18001_13001_1000_1000_0.9824.png,TCGA-A7-A0D9-01Z-00-DX2_18001_13001_1000_1000_0.9824,260,4,180,76
train,TCGA-A7-A0DA-01Z-00-DX1_63501_13001_1000_999_0.9824.png,TCGA-A7-A0DA-01Z-00-DX1_63501_13001_1000_999_0.9824,690,338,59,293
train,TCGA-A7-A0DA-01Z-00-DX2_11501_11001_1000_1000_0.9824.png,TCGA-A7-A0DA-01Z-00-DX2_11501_11001_1000_1000_0.9824,245,75,64,106
train,TCGA-A7-A0DB-01Z-00-DX2_16001_32501_1000_1000_0.986.png,TCGA-A7-A0DB-01Z-00-DX2_16001_32501_1000_1000_0.986,217,2,158,57
train,TCGA-A7-A13D-01Z-00-DX1_24001_18501_1000_1000_0.9824.png,TCGA-A7-A13D-01Z-00-DX1_24001_18501_1000_1000_0.9824,168,5,87,76
train,TCGA-A7-A13D-01Z-00-DX2_72001_40001_1000_1000_0.9824.png,TCGA-A7-A13D-01Z-00-DX2_72001_40001_1000_1000_0.9824,79,1,52,26
train,TCGA-A7-A13E-01Z-00-DX1_26501_13501_1000_1000_0.9824.png,TCGA-A7-A13E-01Z-00-DX1_26501_13501_1000_1000_0.9824,315,79,120,116
train,TCGA-A7-A13E-01Z-00-DX2_18501_14500_1000_1001_0.9824.png,TCGA-A7-A13E-01Z-00-DX2_18501_14500_1000_1001_0.9824,572,441,56,75
train,TCGA-A7-A13F-01Z-00-DX1_22501_28001_999_1000_0.9824.png,TCGA-A7-A13F-01Z-00-DX1_22501_28001_999_1000_0.9824,148,14,68,66
train,TCGA-A7-A13F-01Z-00-DX2_21001_34001_1000_1000_0.9824.png,TCGA-A7-A13F-01Z-00-DX2_21001_34001_1000_1000_0.9824,212,5,174,33
train,TCGA-A7-A13G-01Z-00-DX1_9501_8501_1000_1000_0.9824.png,TCGA-A7-A13G-01Z-00-DX1_9501_8501_1000_1000_0.9824,246,26,152,68
train,TCGA-A7-A13H-01Z-00-DX1_9001_16501_1000_1000_0.9872000000000001.png,TCGA-A7-A13H-01Z-00-DX1_9001_16501_1000_1000_0.9872000000000001,211,66,88,57
train,TCGA-A7-A13H-01Z-00-DX2_64501_19501_999_1000_0.9872000000000001.png,TCGA-A7-A13H-01Z-00-DX2_64501_19501_999_1000_0.9872000000000001,255,3,214,38
train,TCGA-A7-A26E-01Z-00-DX1_16501_23501_1000_1000_0.9920000000000001.png,TCGA-A7-A26E-01Z-00-DX1_16501_23501_1000_1000_0.9920000000000001,186,3,143,40
train,TCGA-A7-A26F-01Z-00-DX1_24001_18501_1000_1000_0.9920000000000001.png,TCGA-A7-A26F-01Z-00-DX1_24001_18501_1000_1000_0.9920000000000001,172,66,62,44
train,TCGA-A7-A26G-01Z-00-DX1_28501_15001_1000_1000_0.9920000000000001.png,TCGA-A7-A26G-01Z-00-DX1_28501_15001_1000_1000_0.9920000000000001,604,460,36,108
train,TCGA-A7-A26H-01Z-00-DX1_12001_35001_1000_1000_0.9920000000000001.png,TCGA-A7-A26H-01Z-00-DX1_12001_35001_1000_1000_0.9920000000000001,171,2,125,44
train,TCGA-A7-A26I-01Z-00-DX1_10501_25501_1000_1000_0.9920000000000001.png,TCGA-A7-A26I-01Z-00-DX1_10501_25501_1000_1000_0.9920000000000001,209,83,91,35
train,TCGA-A7-A26J-01Z-00-DX1_59001_20501_1000_1000_0.9920000000000001.png,TCGA-A7-A26J-01Z-00-DX1_59001_20501_1000_1000_0.9920000000000001,319,69,107,143
train,TCGA-A7-A3IY-01Z-00-DX1_19501_8001_1000_1000_0.9824.png,TCGA-A7-A3IY-01Z-00-DX1_19501_8001_1000_1000_0.9824,308,1,248,59
train,TCGA-A7-A3RF-01Z-00-DX1_64000_16001_1001_1000_0.9872000000000001.png,TCGA-A7-A3RF-01Z-00-DX1_64000_16001_1001_1000_0.9872000000000001,194,12,107,75
train,TCGA-A7-A426-01Z-00-DX1_68501_26501_1000_1000_0.9872000000000001.png,TCGA-A7-A426-01Z-00-DX1_68501_26501_1000_1000_0.9872000000000001,345,7,242,96
train,TCGA-A7-A4SA-01Z-00-DX1_11001_20501_1000_1000_0.9920000000000001.png,TCGA-A7-A4SA-01Z-00-DX1_11001_20501_1000_1000_0.9920000000000001,285,152,22,111
train,TCGA-A7-A4SC-01Z-00-DX1_15500_35001_1001_1000_0.9920000000000001.png,TCGA-A7-A4SC-01Z-00-DX1_15500_35001_1001_1000_0.9920000000000001,216,8,125,83
train,TCGA-A7-A4SD-01Z-00-DX1_62501_26500_1000_1001_0.9872000000000001.png,TCGA-A7-A4SD-01Z-00-DX1_62501_26500_1000_1001_0.9872000000000001,463,144,121,198
train,TCGA-A7-A4SE-01Z-00-DX1_11001_12001_1000_1000_0.9872000000000001.png,TCGA-A7-A4SE-01Z-00-DX1_11001_12001_1000_1000_0.9872000000000001,256,2,222,32
train,TCGA-A7-A4SF-01Z-00-DX1_16501_28501_1000_1000_0.9872000000000001.png,TCGA-A7-A4SF-01Z-00-DX1_16501_28501_1000_1000_0.9872000000000001,498,377,47,74
train,TCGA-A7-A56D-01Z-00-DX1_69501_20501_1000_1000_0.9824.png,TCGA-A7-A56D-01Z-00-DX1_69501_20501_1000_1000_0.9824,183,0,149,34
train,TCGA-A7-A5ZV-01Z-00-DX1_16501_32500_1000_1001_0.986.png,TCGA-A7-A5ZV-01Z-00-DX1_16501_32500_1000_1001_0.986,208,4,187,17
train,TCGA-A7-A5ZW-01Z-00-DX1_58001_9501_1000_1000_0.986.png,TCGA-A7-A5ZW-01Z-00-DX1_58001_9501_1000_1000_0.986,167,0,79,88
train,TCGA-A7-A5ZX-01Z-00-DX1_13001_7501_1000_1000_0.986.png,TCGA-A7-A5ZX-01Z-00-DX1_13001_7501_1000_1000_0.986,366,1,291,74
train,TCGA-A7-A6VX-01Z-00-DX1_66501_19001_1000_1000_0.9824.png,TCGA-A7-A6VX-01Z-00-DX1_66501_19001_1000_1000_0.9824,236,58,139,39
train,TCGA-A8-A06N-01Z-00-DX1_18501_28501_1000_1000_0.93.png,TCGA-A8-A06N-01Z-00-DX1_18501_28501_1000_1000_0.93,280,6,260,14
train,TCGA-A8-A06P-01Z-00-DX1_14001_14000_1000_1001_0.93.png,TCGA-A8-A06P-01Z-00-DX1_14001_14000_1000_1001_0.93,193,1,166,26
train,TCGA-A8-A06Q-01Z-00-DX1_24001_16001_1000_1000_0.93.png,TCGA-A8-A06Q-01Z-00-DX1_24001_16001_1000_1000_0.93,202,57,87,58
train,TCGA-A8-A06R-01Z-00-DX1_21001_16001_1000_1000_0.93.png,TCGA-A8-A06R-01Z-00-DX1_21001_16001_1000_1000_0.93,170,30,115,25
train,TCGA-A8-A06T-01Z-00-DX1_29500_24501_1001_1000_0.93.png,TCGA-A8-A06T-01Z-00-DX1_29500_24501_1001_1000_0.93,358,0,336,22
