encoder,method,runtime_s,acc,macro_f1,balanced_acc,ablation_group,feature_mode,patch_agg,patch_budget,k,encoders,common_sizes
provgigapath,ablate_patchfeat_cell_patch,2.4225312676280737,0.6816637216256627,0.619318386066284,0.686323760356815,feature_mode,cell_patch,,,,,
vit_large_patch16_224,ablate_patchfeat_cell_only,1.6828456558287144,0.723800462144896,0.6419004049513605,0.6813678133427619,feature_mode,cell_only,,,,,
mae_vitl,ablate_patchfeat_cell_only,1.9401650112122297,0.6845181459834172,0.6162624685638636,0.6809781725093442,feature_mode,cell_only,,,,,
vit_large_patch16_224,ablate_patchfeat_cell_patch_resid,2.634571097791195,0.6497213538126954,0.6094179922868005,0.675701709383933,feature_mode,cell_patch_resid,,,,,
virchow2,ablate_patchfeat_cell_only,3.568484677001834,0.6819355715644964,0.6199947607124906,0.6728954642406952,feature_mode,cell_only,,,,,
provgigapath,ablate_patchfeat_cell_patch_resid,3.134296191856265,0.6741878483077341,0.6134637929514425,0.6711349266208146,feature_mode,cell_patch_resid,,,,,
vit_large_patch16_224,ablate_patchfeat_cell_patch,2.059424864128232,0.6381677314122605,0.5978958415811975,0.6698341513972949,feature_mode,cell_patch,,,,,
virchow2,ablate_patchfeat_cell_patch_resid,5.0943354070186615,0.6771781976349055,0.608080101101004,0.6658756900945004,feature_mode,cell_patch_resid,,,,,
mae_vitl,ablate_patchfeat_cell_patch_resid,2.341702563688159,0.6811200217479951,0.6059498819406836,0.6642217553386386,feature_mode,cell_patch_resid,,,,,
mae_vitl,ablate_patchfeat_cell_patch,3.2312486078590155,0.6402066059535136,0.5848923470844609,0.6622502350310149,feature_mode,cell_patch,,,,,
dinov2_vitl,ablate_patchfeat_cell_only,2.902993256226182,0.672013048797064,0.5975694139790246,0.6568867914970221,feature_mode,cell_only,,,,,
provgigapath,ablate_patchfeat_cell_only,1.8137762043625116,0.6615468261519641,0.6147427825548831,0.6560962462917016,feature_mode,cell_only,,,,,
virchow2,ablate_patchfeat_cell_patch,4.474670741707087,0.6542068778034525,0.5905863005377814,0.6455921483312643,feature_mode,cell_patch,,,,,
conch,ablate_patchfeat_cell_patch,2.602930221706629,0.6430610303112682,0.5836261989130928,0.6453513819987243,feature_mode,cell_patch,,,,,
resnet50,ablate_patchfeat_cell_patch,3.6146397069096565,0.7220334375424765,0.638485002375231,0.6395856116826063,feature_mode,cell_patch,,,,,
conch,ablate_patchfeat_cell_only,1.905472869053483,0.6407503058311812,0.5763184104947452,0.6288123873170844,feature_mode,cell_only,,,,,
resnet50,ablate_patchfeat_cell_only,2.5464094411581755,0.6748674731548185,0.5989220678242287,0.6284992867189846,feature_mode,cell_only,,,,,
conch,ablate_patchfeat_cell_patch_resid,3.62806916795671,0.5979339404648634,0.5521004256998867,0.6234354860670313,feature_mode,cell_patch_resid,,,,,
dinov2_vitl,ablate_patchfeat_cell_patch_resid,3.8396381996572018,0.6366725567486747,0.5569859381162312,0.6047746417272702,feature_mode,cell_patch_resid,,,,,
resnet50,ablate_patchfeat_cell_patch_resid,4.043348323553801,0.6620905260296317,0.595303514638344,0.6035966493323933,feature_mode,cell_patch_resid,,,,,
dinov2_vitl,ablate_patchfeat_cell_patch,4.488859919831157,0.5942639662906076,0.5324301841739508,0.6028060299681031,feature_mode,cell_patch,,,,,
mae_vitl,ablate_patchfeat_patch_only,1.6539759300649166,0.576593720266413,0.45147137400283516,0.514436375212535,feature_mode,patch_only,,,,,
resnet50,ablate_patchfeat_patch_only,2.0466787479817867,0.6350414571156722,0.5011567198319639,0.497622117191654,feature_mode,patch_only,,,,,
virchow2,ablate_patchfeat_patch_only,2.1100293155759573,0.6169634361832269,0.4483995476148485,0.4920341918809495,feature_mode,patch_only,,,,,
uni,ablate_patchfeat_cell_patch_resid,3.2103116679936647,0.5314666304200082,0.4666446270836791,0.48977939868190123,feature_mode,cell_patch_resid,,,,,
uni,ablate_patchfeat_cell_patch,2.4678369853645563,0.5181459834171537,0.45544651525161634,0.4827574611256695,feature_mode,cell_patch,,,,,
conch,ablate_patchfeat_patch_only,2.1376824472099543,0.5655837977436455,0.442159850327357,0.4677005437125099,feature_mode,patch_only,,,,,
vit_large_patch16_224,ablate_patchfeat_patch_only,1.6075604408979416,0.5692537719179013,0.45483760577956583,0.4676749767175299,feature_mode,patch_only,,,,,
provgigapath,ablate_patchfeat_patch_only,1.6102702803909779,0.570748946581487,0.4324318176087844,0.464728641039728,feature_mode,patch_only,,,,,
dinov2_vitl,ablate_patchfeat_patch_only,1.8885192684829235,0.5389425037379366,0.42028977234270837,0.4568905970703096,feature_mode,patch_only,,,,,
uni,ablate_patchfeat_cell_only,3.362115629017353,0.5110778850074759,0.4281961793685382,0.4482113331758966,feature_mode,cell_only,,,,,
ctranspath,ablate_patchfeat_patch_only,2.903224341571331,0.5969824656789452,0.4332473542734787,0.44405165028308063,feature_mode,patch_only,,,,,
ctranspath,ablate_patchfeat_cell_patch,2.602159734815359,0.6066331385075439,0.38781758394223936,0.41812690981247896,feature_mode,cell_patch,,,,,
ctranspath,ablate_patchfeat_cell_patch_resid,5.650898780673742,0.5738752208780753,0.40913289915063156,0.41626824010773406,feature_mode,cell_patch_resid,,,,,
uni,ablate_patchfeat_patch_only,2.08690850995481,0.4489601739839609,0.36645926099074727,0.3895150628357529,feature_mode,patch_only,,,,,
ctranspath,ablate_patchfeat_cell_only,2.8489170614629984,0.6550224276199538,0.3105931640204481,0.3433444213131763,feature_mode,cell_only,,,,,
