encoder,method,runtime_s,acc,macro_f1,balanced_acc,ablation_group,feature_mode,patch_agg,patch_budget,k,encoders,common_sizes
vit_large_patch16_224,ablate_localctx_k12,4.22862116061151,0.5922250917493543,0.5700416119166667,0.6587568663066261,localctx_k,,,,12.0,,
vit_large_patch16_224,ablate_localctx_k8,4.1422687247395515,0.7323637352181596,0.6476123236238673,0.654789703833115,localctx_k,,,,8.0,,
provgigapath,ablate_localctx_k8,3.6234931517392397,0.719179013184722,0.5991552857000614,0.6503711153547419,localctx_k,,,,8.0,,
provgigapath,ablate_localctx_k12,4.141937067732215,0.6309637080331657,0.5889476371584154,0.6201785709607628,localctx_k,,,,12.0,,
conch,ablate_localctx_k8,3.273242749273777,0.5072719858638032,0.5030125516290033,0.6142090283386464,localctx_k,,,,8.0,,
conch,ablate_localctx_k12,4.541471127420664,0.5861084681255947,0.5421834567628641,0.5838116988069184,localctx_k,,,,12.0,,
resnet50,ablate_localctx_k4,5.140360716730356,0.6871007204023379,0.5574955905797075,0.5818563432664273,localctx_k,,,,4.0,,
resnet50,ablate_localctx_k8,6.761577619239688,0.6611390512437134,0.5411471904893528,0.5678755045102336,localctx_k,,,,8.0,,
resnet50,ablate_localctx_k12,5.7373225055634975,0.705450591273617,0.5703751555630184,0.5638312118801379,localctx_k,,,,12.0,,
conch,ablate_localctx_k4,3.973600272089243,0.5742829957863259,0.5262398907347986,0.5563460753214788,localctx_k,,,,4.0,,
virchow2,ablate_localctx_k8,5.25693023763597,0.6585564768247927,0.43485837953014767,0.4963657238762245,localctx_k,,,,8.0,,
mae_vitl,ablate_localctx_k4,3.8427833393216133,0.6514883784151149,0.42994638103146293,0.4934856170463992,localctx_k,,,,4.0,,
virchow2,ablate_localctx_k4,5.344843370839953,0.6058175886910425,0.40829897235408774,0.49101081159730375,localctx_k,,,,4.0,,
vit_large_patch16_224,ablate_localctx_k4,4.83165880292654,0.45263014815821667,0.3933788451963918,0.4810153265669738,localctx_k,,,,4.0,,
dinov2_vitl,ablate_localctx_k12,7.286261472851038,0.23841239635721082,0.23271115168817494,0.47846291110702666,localctx_k,,,,12.0,,
virchow2,ablate_localctx_k12,5.618002047762275,0.5786325948076662,0.3921403329289979,0.4740493813856867,localctx_k,,,,12.0,,
dinov2_vitl,ablate_localctx_k4,6.422933226451278,0.2452086448280549,0.24188915919835519,0.46649028211745885,localctx_k,,,,4.0,,
mae_vitl,ablate_localctx_k8,5.5202572401613,0.24480086991980426,0.25294442866262856,0.46205956434953505,localctx_k,,,,8.0,,
dinov2_vitl,ablate_localctx_k8,5.830200592055917,0.24316977028680167,0.23551200266909642,0.4580059587704977,localctx_k,,,,8.0,,
provgigapath,ablate_localctx_k4,3.567271925508976,0.44094060078836483,0.3489921586397556,0.455746989628907,localctx_k,,,,4.0,,
uni,ablate_localctx_k4,4.813339736312628,0.3819491640614381,0.2745449141744406,0.4230705983926735,localctx_k,,,,4.0,,
uni,ablate_localctx_k8,7.448832895606756,0.38290063884735626,0.262757774387844,0.38517172306476805,localctx_k,,,,8.0,,
uni,ablate_localctx_k12,4.924182901158929,0.37909473970368357,0.2553989312467811,0.36309456762525305,localctx_k,,,,12.0,,
mae_vitl,ablate_localctx_k12,4.038502907380462,0.26722848987358977,0.1736278485316053,0.36127205520067546,localctx_k,,,,12.0,,
ctranspath,ablate_localctx_k4,2.3151865266263485,0.6758189479407367,0.2688512179955119,0.3333333333333333,localctx_k,,,,4.0,,
ctranspath,ablate_localctx_k8,2.308224754408002,0.6758189479407367,0.2688512179955119,0.3333333333333333,localctx_k,,,,8.0,,
ctranspath,ablate_localctx_k12,3.3914319071918726,0.6758189479407367,0.2688512179955119,0.3333333333333333,localctx_k,,,,12.0,,
