encoder,method,runtime_s,acc,macro_f1,balanced_acc,ablation_group,feature_mode,patch_agg,patch_budget,k,encoders,common_sizes
virchow2,ablate_patchagg_max,5.31222621165216,0.696207693353269,0.6345708233574766,0.6861294763940388,patch_agg,,max,,,,
vit_large_patch16_224,ablate_patchagg_max,2.7726866845041513,0.6803044719314938,0.6245717525637688,0.6805678611787055,patch_agg,,max,,,,
vit_large_patch16_224,ablate_patchagg_mean,2.839150981977582,0.6729645235829822,0.6140938915492637,0.6799797188309543,patch_agg,,mean,,,,
mae_vitl,ablate_patchagg_mean,4.1315390560775995,0.6595079516107109,0.5980121967549334,0.6797999655593573,patch_agg,,mean,,,,
provgigapath,ablate_patchagg_max,3.434052409604192,0.6798966970232432,0.6214559507931502,0.6712993466484045,patch_agg,,max,,,,
provgigapath,ablate_patchagg_mean,3.298420051112771,0.6794889221149926,0.6135889396803306,0.6707463076153456,patch_agg,,mean,,,,
mae_vitl,ablate_patchagg_max,2.9211387429386377,0.6970232431697703,0.6229753137852401,0.6658699923535298,patch_agg,,max,,,,
virchow2,ablate_patchagg_mean,4.415865419432521,0.6729645235829822,0.6025448550165171,0.6619899863717024,patch_agg,,mean,,,,
conch,ablate_patchagg_max,3.2583029735833406,0.6664401250509718,0.5960968720349982,0.6520559864775409,patch_agg,,max,,,,
resnet50,ablate_patchagg_max,4.3692839331924915,0.69267364414843,0.6257185457247875,0.6412907894554557,patch_agg,,max,,,,
resnet50,ablate_patchagg_mean,3.5461641773581505,0.7118390648362104,0.6226680270400701,0.638949277787647,patch_agg,,mean,,,,
conch,ablate_patchagg_mean,3.07702605612576,0.6275655837977436,0.5732091368781923,0.6212734343014028,patch_agg,,mean,,,,
dinov2_vitl,ablate_patchagg_mean,4.894644487649202,0.5946717411988582,0.546222938813999,0.6133533074706002,patch_agg,,mean,,,,
dinov2_vitl,ablate_patchagg_max,4.715486083179712,0.673236373521816,0.5798351427253494,0.6116686343952339,patch_agg,,max,,,,
uni,ablate_patchagg_max,5.513248356059194,0.589234742422183,0.49954760561157663,0.5375856735821744,patch_agg,,max,,,,
uni,ablate_patchagg_mean,4.625879248604178,0.5218159575914095,0.4603297107707495,0.4947301821379921,patch_agg,,mean,,,,
ctranspath,ablate_patchagg_mean,5.200007176026702,0.5794481446241675,0.4169420300947853,0.4207310171496619,patch_agg,,mean,,,,
ctranspath,ablate_patchagg_max,3.428889164701104,0.5649041728965611,0.36633760265879006,0.37129224099288954,patch_agg,,max,,,,
