encoder,method,runtime_s,acc,macro_f1,balanced_acc,ablation_group,feature_mode,patch_agg,patch_budget,k,encoders,common_sizes
provgigapath,ablate_patchbudget_100,2.6643951535224915,0.6771781976349055,0.607054145455907,0.6795294498358001,patch_budget,,,100.0,,,
vit_large_patch16_224,ablate_patchbudget_100,2.5557558611035347,0.6781296724208237,0.6157621007057787,0.6752014973574685,patch_budget,,,100.0,,,
vit_large_patch16_224,ablate_patchbudget_300,3.0736537612974644,0.6391192061981786,0.5853680760159281,0.6713846310277333,patch_budget,,,300.0,,,
virchow2,ablate_patchbudget_200,3.781787734478712,0.7337229849123283,0.639857366635709,0.6703061579428923,patch_budget,,,200.0,,,
vit_large_patch16_224,ablate_patchbudget_200,3.0412570759654045,0.64210955552535,0.5914743639646998,0.6692996367241392,patch_budget,,,200.0,,,
mae_vitl,ablate_patchbudget_300,3.7809264604002237,0.6570613021612071,0.5989862551260453,0.6641420410426441,patch_budget,,,300.0,,,
provgigapath,ablate_patchbudget_300,3.3784844763576984,0.6725567486747316,0.6038987929369873,0.6631413186837799,patch_budget,,,300.0,,,
resnet50,ablate_patchbudget_100,3.9430848211050034,0.6876444202800054,0.6309134302436686,0.6628712325478784,patch_budget,,,100.0,,,
mae_vitl,ablate_patchbudget_100,4.117907520383596,0.6623623759684654,0.5923237786088912,0.661265172434005,patch_budget,,,100.0,,,
virchow2,ablate_patchbudget_300,4.428172370418906,0.6595079516107109,0.5904002753401038,0.6517302163307556,patch_budget,,,300.0,,,
mae_vitl,ablate_patchbudget_200,2.920142512768507,0.6600516514883784,0.589564596332201,0.6507065881775548,patch_budget,,,200.0,,,
virchow2,ablate_patchbudget_100,4.32388655655086,0.6436047301889357,0.5812116215553534,0.6466756133029293,patch_budget,,,100.0,,,
provgigapath,ablate_patchbudget_200,2.3821083437651396,0.6482261791491097,0.5787511682279184,0.6461153986439488,patch_budget,,,200.0,,,
resnet50,ablate_patchbudget_200,3.8262410648167133,0.6849259208916678,0.6298972207562842,0.644134991987542,patch_budget,,,200.0,,,
conch,ablate_patchbudget_200,2.744580004364252,0.6393910561370124,0.5783576639007175,0.643141367845903,patch_budget,,,200.0,,,
resnet50,ablate_patchbudget_300,3.772620415315032,0.6426532554030175,0.5907633205804679,0.6354181873540842,patch_budget,,,300.0,,,
conch,ablate_patchbudget_300,3.474864097312093,0.6187304607856463,0.5595863736398684,0.6349921610141228,patch_budget,,,300.0,,,
conch,ablate_patchbudget_100,2.6365370731800795,0.6219926600516514,0.5642597294974503,0.6276042712411742,patch_budget,,,100.0,,,
dinov2_vitl,ablate_patchbudget_300,3.2903007864952087,0.5995650400978659,0.5428496877350802,0.6234298132034216,patch_budget,,,300.0,,,
dinov2_vitl,ablate_patchbudget_100,4.451969353482127,0.6179149109691451,0.5639180368496838,0.6226501347206886,patch_budget,,,100.0,,,
dinov2_vitl,ablate_patchbudget_200,5.096402203664184,0.6321870327579177,0.5677391643296342,0.6207829370099144,patch_budget,,,200.0,,,
uni,ablate_patchbudget_200,3.8964409697800875,0.5538942503737937,0.4699117631499586,0.4738953591880836,patch_budget,,,200.0,,,
uni,ablate_patchbudget_100,2.895229872316122,0.5287481310316705,0.4380930925563689,0.4705288306782267,patch_budget,,,100.0,,,
uni,ablate_patchbudget_300,3.1963544599711895,0.5011553622400435,0.4402333272414385,0.4672925871863945,patch_budget,,,300.0,,,
ctranspath,ablate_patchbudget_300,5.8144343961030245,0.6010602147614517,0.4368768477139246,0.4390078071110626,patch_budget,,,300.0,,,
ctranspath,ablate_patchbudget_200,5.656193006783724,0.5922250917493543,0.39326774655016306,0.40457593565321753,patch_budget,,,200.0,,,
ctranspath,ablate_patchbudget_100,2.1463646572083235,0.6241674595623216,0.3874837453598516,0.39715230265052953,patch_budget,,,100.0,,,
