encoder,graph_label_propagation,hybrid_morph_context,linear_probe,local_context_mlp,mlp_head,multi_encoder_context_fusion,multiscale_proxy_mlp,patch_context_mlp,residual_boosting
conch,0.6296044583389969,0.6463232295772734,0.6230800598069866,0.6843822210140003,0.6667119749898056,,0.5829821938290064,0.5899143672692674,0.6313714829414163
ctranspath,0.6758189479407367,0.5669430474378143,0.6665760500203888,0.6758189479407367,0.6533913279869512,,0.6758189479407367,0.6165556612749762,0.646731004485524
dinov2_vitl,0.6865570205246704,0.6395269811064292,0.6710615740111459,0.24765529427755878,0.6563816773141226,,0.644420280005437,0.6615468261519641,0.6726926736441484
fusion,,,,,,0.6580441640378549,,,
mae_vitl,0.6665760500203888,0.6577409270082915,0.6571972271306239,0.21245072719858638,0.6415658556476824,,0.5152915590593992,0.6562457523447057,0.6577409270082915
provgigapath,0.6963436183226859,0.6446921299442707,0.6784015223596574,0.660459426396629,0.6817996465950795,,0.5927687916270219,0.6459154546690227,0.6794889221149926
resnet50,0.7083050156313715,0.7077613157537039,0.6493135789044447,0.6298763082778306,0.6798966970232432,,0.47981514204159303,0.708848715509039,0.6540709528340356
uni,0.6010602147614517,0.5430202528204431,0.5929047165964387,0.3577545195052331,0.513252684518146,,0.2601603914639119,0.523582982193829,0.5933124915046895
virchow2,0.6633138507543835,0.7069457659372027,0.649041728965611,0.583525893706674,0.6862851705858366,,0.6483621041185266,0.6981106429251054,0.6509446785374473
vit_large_patch16_224,0.7106157401114584,0.7119749898056273,0.6872366453717548,0.5867880929726791,0.6811200217479951,,0.3845317384803588,0.6440125050971863,0.6894114448824249
