encoder,graph_label_propagation,hybrid_morph_context,linear_probe,local_context_mlp,mlp_head,multi_encoder_context_fusion,multiscale_proxy_mlp,patch_context_mlp,residual_boosting
conch,0.6230542944737083,0.6264667474230452,0.6139436779900785,0.6191939862984035,0.6414454331955258,,0.4865863735708465,0.6220134769368387,0.6203407715733441
ctranspath,0.3333333333333333,0.37769225379844845,0.3329032975050674,0.3333333333333333,0.3403280444029941,,0.3333333333333333,0.41991044142732586,0.3373678612648614
dinov2_vitl,0.641240878596031,0.6083784046776891,0.6460926120398055,0.4858040298669599,0.6537342692201732,,0.6394090571845129,0.6353013439331359,0.6503239522537838
fusion,,,,,,0.6133082556294696,,,
mae_vitl,0.6573942142349751,0.6743561276181252,0.6587737047317536,0.33454057679409793,0.6550379776886895,,0.48579205582203205,0.6611291534977042,0.6590419810563679
provgigapath,0.652771882052562,0.643032501792509,0.6452140749618754,0.6572701611316724,0.6734357523299677,,0.49468363427245987,0.6617714113610065,0.6460721235705346
resnet50,0.6331901891862037,0.616012226431046,0.5904685816753963,0.6371266333099291,0.6354304368337433,,0.4636738324559535,0.6451415684434082,0.5919445569290321
uni,0.5539482397298845,0.4459732063137389,0.5485962826434868,0.3859928482284716,0.4589897592164938,,0.34862252233406865,0.49305582691521893,0.5530643315405269
virchow2,0.6521311795883716,0.6643551384094327,0.6479338062167029,0.48780249736262826,0.6818882284797745,,0.5974778632389534,0.6703094891332516,0.6532005430005469
vit_large_patch16_224,0.6670335533324551,0.6995627748544702,0.6522950276038814,0.6480514363493087,0.6764309186580978,,0.46251730297715193,0.6483887866308937,0.659262032357434
