encoder,graph_label_propagation,hybrid_morph_context,linear_probe,local_context_mlp,mlp_head,multi_encoder_context_fusion,multiscale_proxy_mlp,patch_context_mlp,residual_boosting
conch,0.5797122810623231,0.5723455236441113,0.5641250653591721,0.5910963285317196,0.5934961523717215,,0.46861646590026135,0.5488260068475092,0.5690597225933989
ctranspath,0.2688512179955119,0.3470206647606405,0.27775400238231074,0.2688512179955119,0.30546345195384356,,0.2688512179955119,0.40462344398965544,0.3033736321259795
dinov2_vitl,0.6047240129847627,0.5601421623314408,0.5964631248298932,0.2403463143895769,0.5894177901149451,,0.5736381987859464,0.5825757436181856,0.5997588335440058
fusion,,,,,,0.5928147926028875,,,
mae_vitl,0.6004771256798334,0.5945407823072727,0.5953348588817585,0.11834454017873423,0.5873432723989281,,0.45153146654171233,0.5887255041099948,0.5960556872286552
provgigapath,0.6276390538446485,0.5924605001317058,0.606917415717246,0.6115070964873971,0.6249620076282949,,0.46454392601933586,0.589111534260105,0.6070196015074328
resnet50,0.6124604252780853,0.6159696766598693,0.5577156181716635,0.5505193457573029,0.6099048666579783,,0.41383907221226574,0.6227552058874556,0.5603195414125264
uni,0.536665717782753,0.44135305683001186,0.5235317547301183,0.25200503725870654,0.43126464710561724,,0.17107572360105705,0.4605535196431026,0.5272229630072833
virchow2,0.6114205270788121,0.6363549264055335,0.5911335741108504,0.39741165682497864,0.6201388069072088,,0.5696955235207823,0.6258215994025412,0.5950651528620364
vit_large_patch16_224,0.6416960033045649,0.6478314350841785,0.6149845660345913,0.5474704427679087,0.6293513574833859,,0.39496022210489223,0.5843210700417812,0.6196748567548097
