encoder,method,runtime_s,acc,macro_f1,balanced_acc,ablation_group,feature_mode,patch_agg,patch_budget,k,encoders,common_sizes
vit_large_patch16_224,hybrid_morph_context,4.692217480391264,0.7119749898056273,0.6478314350841785,0.6995627748544702,,,,,,,
provgigapath,ablate_patchfeat_cell_patch,2.4225312676280737,0.6816637216256627,0.619318386066284,0.686323760356815,feature_mode,cell_patch,,,,,
virchow2,ablate_patchagg_max,5.31222621165216,0.696207693353269,0.6345708233574766,0.6861294763940388,patch_agg,,max,,,,
virchow2,mlp_head,1.7478145025670528,0.6862851705858366,0.6201388069072088,0.6818882284797745,,,,,,,
vit_large_patch16_224,ablate_patchfeat_cell_only,1.6828456558287144,0.723800462144896,0.6419004049513605,0.6813678133427619,feature_mode,cell_only,,,,,
mae_vitl,ablate_patchfeat_cell_only,1.9401650112122297,0.6845181459834172,0.6162624685638636,0.6809781725093442,feature_mode,cell_only,,,,,
vit_large_patch16_224,ablate_patchagg_max,2.7726866845041513,0.6803044719314938,0.6245717525637688,0.6805678611787055,patch_agg,,max,,,,
vit_large_patch16_224,ablate_patchagg_mean,2.839150981977582,0.6729645235829822,0.6140938915492637,0.6799797188309543,patch_agg,,mean,,,,
mae_vitl,ablate_patchagg_mean,4.1315390560775995,0.6595079516107109,0.5980121967549334,0.6797999655593573,patch_agg,,mean,,,,
provgigapath,ablate_patchbudget_100,2.6643951535224915,0.6771781976349055,0.607054145455907,0.6795294498358001,patch_budget,,,100.0,,,
vit_large_patch16_224,mlp_head,2.256108745932579,0.6811200217479951,0.6293513574833859,0.6764309186580978,,,,,,,
vit_large_patch16_224,ablate_patchfeat_cell_patch_resid,2.634571097791195,0.6497213538126954,0.6094179922868005,0.675701709383933,feature_mode,cell_patch_resid,,,,,
vit_large_patch16_224,ablate_patchbudget_100,2.5557558611035347,0.6781296724208237,0.6157621007057787,0.6752014973574685,patch_budget,,,100.0,,,
mae_vitl,hybrid_morph_context,5.170214604586363,0.6577409270082915,0.5945407823072727,0.6743561276181252,,,,,,,
provgigapath,mlp_head,6.266294794157147,0.6817996465950795,0.6249620076282949,0.6734357523299677,,,,,,,
virchow2,ablate_patchfeat_cell_only,3.568484677001834,0.6819355715644964,0.6199947607124906,0.6728954642406952,feature_mode,cell_only,,,,,
vit_large_patch16_224,ablate_patchbudget_300,3.0736537612974644,0.6391192061981786,0.5853680760159281,0.6713846310277333,patch_budget,,,300.0,,,
provgigapath,ablate_patchagg_max,3.434052409604192,0.6798966970232432,0.6214559507931502,0.6712993466484045,patch_agg,,max,,,,
vit_large_patch16_224,ablate_graph_k4,13.937351536005735,0.7108875900502922,0.6421432074759627,0.6711875388522609,graph_k,,,,4.0,,
provgigapath,ablate_patchfeat_cell_patch_resid,3.134296191856265,0.6741878483077341,0.6134637929514425,0.6711349266208146,feature_mode,cell_patch_resid,,,,,
provgigapath,ablate_patchagg_mean,3.298420051112771,0.6794889221149926,0.6135889396803306,0.6707463076153456,patch_agg,,mean,,,,
virchow2,patch_context_mlp,5.348036391660571,0.6981106429251054,0.6258215994025412,0.6703094891332516,,,,,,,
